Candidate,Role,Stage,Source,Applied_Date,Last_Updated,Skills
Candidate_001,SRE,Rejected,LinkedIn,2025-10-14,2025-10-15,Docker;Grafana;CI/CD;Prometheus;Terraform;Linux
Candidate_002,SRE,Interview,Recruiter,2025-09-15,2025-10-02,Linux;GitHub Actions;Kubernetes;PowerShell;Networking;CI/CD;Python
Candidate_003,DevOps Engineer,Applied,Company Site,2025-10-19,2025-11-10,Security;AWS;Python;Networking;Grafana;Docker
Candidate_004,Cloud Engineer,Screening,LinkedIn,2025-09-16,2025-09-20,Security;PowerShell;Grafana;Terraform
Candidate_005,DevOps Engineer,Applied,Company Site,2025-08-16,2025-09-08,Security;Docker;GCP;Azure;PowerShell
Candidate_006,SRE,Rejected,Recruiter,2025-09-21,2025-09-26,Prometheus;GCP;Python;Security;Grafana;Bash;CI/CD
Candidate_007,Platform Engineer,Rejected,Recruiter,2025-09-14,2025-10-14,Azure;Prometheus;Linux;Docker
Candidate_008,SRE,Screening,Job Board,2025-09-16,2025-09-20,Ansible;Jenkins;Security;CI/CD
Candidate_009,DevOps Engineer,Interview,Referral,2025-09-30,2025-10-19,GitHub Actions;Terraform;Networking;Prometheus;Kubernetes;Python
Candidate_010,Platform Engineer,Applied,Job Board,2025-08-26,2025-08-31,Ansible;Grafana;GCP;Kubernetes;Prometheus
Candidate_011,Cloud Engineer,Screening,Job Board,2025-08-28,2025-08-31,Security;GCP;Azure;Prometheus
Candidate_012,Cloud Engineer,Rejected,Company Site,2025-09-04,2025-09-15,Python;CI/CD;AWS;Docker
Candidate_013,SRE,Applied,Referral,2025-09-27,2025-10-09,Grafana;Python;Terraform;Jenkins
Candidate_014,DevOps Engineer,Screening,LinkedIn,2025-10-28,2025-11-11,Jenkins;AWS;Python;Kubernetes;GCP;Grafana
Candidate_015,SRE,Interview,Job Board,2025-08-27,2025-09-07,Kubernetes;Ansible;Terraform;AWS;Security;PowerShell
Candidate_016,Platform Engineer,Screening,Company Site,2025-09-22,2025-10-10,Linux;Jenkins;CI/CD;Ansible;Kubernetes;Networking
Candidate_017,SRE,Applied,LinkedIn,2025-08-13,2025-08-16,AWS;Linux;GitHub Actions;Bash
Candidate_018,Platform Engineer,Applied,Recruiter,2025-09-27,2025-10-12,Prometheus;Kubernetes;Linux;Ansible
Candidate_019,SRE,Rejected,Job Board,2025-09-27,2025-10-16,Python;AWS;PowerShell;Jenkins;Grafana;GCP
Candidate_020,Platform Engineer,Interview,Job Board,2025-10-15,2025-11-11,Linux;AWS;Python;Kubernetes;Security;Azure
Candidate_021,DevOps Engineer,Rejected,Referral,2025-08-25,2025-09-04,Kubernetes;Terraform;Azure;Grafana;Python
Candidate_022,Cloud Engineer,Rejected,Job Board,2025-09-01,2025-09-23,Grafana;Docker;CI/CD;Azure;Python;Security
Candidate_023,Platform Engineer,Hired,Company Site,2025-08-19,2025-08-28,Jenkins;AWS;Grafana;Kubernetes;Azure;Docker;Linux
Candidate_024,SRE,Applied,Company Site,2025-08-25,2025-09-12,Ansible;PowerShell;Prometheus;Kubernetes;AWS;CI/CD;GitHub Actions
Candidate_025,Platform Engineer,Applied,LinkedIn,2025-09-24,2025-10-11,Networking;Ansible;Python;Kubernetes;CI/CD;Docker;Grafana
Candidate_026,Cloud Engineer,Screening,Job Board,2025-10-04,2025-10-23,PowerShell;Prometheus;Kubernetes;GitHub Actions;Security;Networking
Candidate_027,SRE,Interview,Referral,2025-08-14,2025-09-05,Security;Networking;Azure;Terraform;AWS
Candidate_028,Cloud Engineer,Applied,LinkedIn,2025-08-20,2025-09-12,GitHub Actions;Bash;Azure;Docker;Kubernetes;Terraform;PowerShell
Candidate_029,Cloud Engineer,Interview,Company Site,2025-10-14,2025-10-21,Networking;CI/CD;Python;GitHub Actions;Linux;Grafana
Candidate_030,DevOps Engineer,Offer,Referral,2025-09-16,2025-09-29,AWS;Docker;Security;Networking;Kubernetes;Terraform
Candidate_031,SRE,Applied,Referral,2025-10-05,2025-10-10,Docker;Terraform;GCP;CI/CD;Grafana;Linux
Candidate_032,Platform Engineer,Rejected,Referral,2025-10-16,2025-10-31,Linux;Python;CI/CD;Azure;Terraform;AWS
Candidate_033,Platform Engineer,Applied,Referral,2025-09-12,2025-10-05,Prometheus;GCP;PowerShell;CI/CD;Python;Security;Bash
Candidate_034,Cloud Engineer,Screening,Job Board,2025-10-04,2025-10-10,Security;Terraform;Docker;AWS;Grafana;Networking
Candidate_035,Platform Engineer,Applied,LinkedIn,2025-10-04,2025-10-08,Networking;Azure;Security;PowerShell;Grafana;Bash;AWS
Candidate_036,DevOps Engineer,Rejected,Recruiter,2025-10-04,2025-10-22,Docker;Linux;Grafana;Networking;GitHub Actions;Security
Candidate_037,Platform Engineer,Interview,Company Site,2025-09-12,2025-09-23,Jenkins;Bash;Security;GitHub Actions
Candidate_038,DevOps Engineer,Applied,Recruiter,2025-09-16,2025-09-28,Python;Jenkins;Linux;Security
Candidate_039,SRE,Interview,Company Site,2025-10-28,2025-11-11,Python;Kubernetes;GitHub Actions;GCP;AWS
Candidate_040,SRE,Rejected,Referral,2025-08-26,2025-09-01,Docker;PowerShell;CI/CD;Bash;Security;Linux
Candidate_041,Platform Engineer,Interview,Referral,2025-10-01,2025-10-06,Kubernetes;Linux;Security;Docker;Prometheus;Ansible;Bash
Candidate_042,Cloud Engineer,Applied,Recruiter,2025-08-26,2025-08-27,CI/CD;Docker;Linux;Grafana;Python;GCP;PowerShell
Candidate_043,SRE,Applied,Referral,2025-10-09,2025-10-22,Networking;Docker;Security;GitHub Actions;Bash;Linux
Candidate_044,SRE,Applied,Referral,2025-10-08,2025-10-26,Azure;Jenkins;Prometheus;Terraform
Candidate_045,Platform Engineer,Hired,Recruiter,2025-10-03,2025-10-07,Prometheus;Ansible;Grafana;PowerShell;Jenkins;Terraform;AWS
Candidate_046,Platform Engineer,Screening,Job Board,2025-09-13,2025-10-02,Linux;PowerShell;Bash;Grafana;Azure
Candidate_047,DevOps Engineer,Applied,LinkedIn,2025-10-05,2025-10-26,Jenkins;Linux;Kubernetes;AWS;Grafana;Security;Prometheus
Candidate_048,Platform Engineer,Rejected,Company Site,2025-10-22,2025-11-11,Ansible;Python;Prometheus;Grafana
Candidate_049,Platform Engineer,Rejected,Referral,2025-10-20,2025-11-11,Security;Bash;Ansible;GCP;Python;AWS;Grafana
